no,name,altname,RA,Dec,Orb_known(hr),Orb_possible(hr),Spin_known(s),Spin_possible(s),conf
134.0,,"IGR J21095+4322, 1RXS J210923.6+431937",21 09 23.86,+43 19 37.1,,,,,**
135.0,,"1RXS J211336.1+542226, Swift J2113.5+5422",21 13 35.40,+54 22 33.0,4.17,,1265.6,,****
136.0,,"Swift J2116.5+5536, 1RXS J211648.0+533349",21 16 46.61,+53 33 54.0,6.555535,,,,**
137.0,,"Gaia18ckw, ZTF18absanfq",21 23 05.54,+15 08 48.6,,,,,**
138.0,V2069 Cyg,RX J2123.7+4217,21 23 44.82,+42 18 01.6,7.48039,,743.4065,,*****
139.0,,"Gaia19fld, ZTF19acfkxfe",21 31 50.81,+49 14 01.7,,,,,**
140.0,,"1RXS J213344.1+510725, RX J2133.7+5107",21 33 43.63,+51 07 24.7,7.13834,,570.8189,,*****
141.0,,Swift J2138.8+5544,21 38 49.91,+55 44 05.7,4.426,,989.43,,*****
,LS Peg,S193,21 51 57.96,+14 06 53.0,4.1946,,,,*
142.0,FO Aqr,H2215-086,22 17 55.38,-08 21 03.7,4.84943,,1254.4446,,*****
143.0,,Swift J2237.2+6324,22 36 37.40,+63 29 33.6,,,,,**
144.0,V349 Aqr,"SDSS J223843.84+010820.7, Aqr1",22 38 43.83,+01 08 20.6,3.23,,390.15,,****
145.0,,"SRGA J225412.8+690658, 2RXS J225416.1+690705",22 54 12.99,+69 07 06.0,,,,,**
146.0,AO Psc,H2252-035,22 55 18.00,-03 10 40.3,3.591012,,805.2034,,*****
147.0,,"1RXS J230645.0+550816, 1SWXRT J230642.7+550817",23 06 42.69,+55 08 20.1,,3.26 ?,464.452,,****
148.0,CC Scl,"1RXS J231532.3-304855, EC 23128-3105",23 15 31.80,-30 48 48.6,1.4056135,,389.49,,****
149.0,V598 Peg,SDSS J233325.92+152222.1,23 33 25.91,+15 22 22.1,1.3854,,2499.6,,****
150.0,V455 And,HS 2331+3905,23 34 01.37,+39 21 38.6,1.351421,,67.61968,,****
